ResourceName,ParentAgencyName
"Sexual Assault Services and Hotline, STARS","Sexual Trauma & Assault Response Services, Inc. STARS"
Sexual Assault Services and Information - Education Program,"Serving Children and Adults In Need, Inc."
Sexual Assault Services and Information Counseling Program,"Serving Children and Adults In Need, Inc."
Sexual Assault Services and Information Program,"Serving Children and Adults In Need, Inc."
Sexual Assult,Victim Intervention Program/Rape Crisis Parkland Health & Hospital System
Sexual Integrity Education Classes,Eastland County Open Door
Sexual Offender Treatment Program,Baylor College of Medicine
"Sexual Trauma & Assault Response Services, Inc. STARS",
Sexually Health and Sexual Transmitted Disease Counseling,The Pregnancy Resource Center
Sexually Transmitted Disease Clinic,City of San Antonio - Metropolitan Health District
Sexually Transmitted Disease Screening,Collin County Health Care Services
Sexually Transmitted Disease Screening,Dallas County Department Of Health & Human Services
Sexually Transmitted Disease Services,Wichita Falls/Wichita County Public Health District
Sexually Transmitted Disease Testing,Coastal Bend Wellness Foundation
Sexually Transmitted Disease/Adult Health Services,Tarrant County Public Health Department
Sexually Transmitted Infections Clinic,Beaumont Public Health Department
Sexually Transmitted Infections Clinic,Brazos County Health Department
Seymour Chamber of Commerce,
Seymour Chamber of Commerce,Seymour Chamber of Commerce
Seymour Church of Christ,
Seymour Hospital,
Seymour Hospital,Seymour Hospital
Seymour Housing Authority,
Seymour Housing Authority,Seymour Housing Authority
Seymour Meals on Wheels,
SFC,
SHA,
SHA,Schulenburg Housing Authority
SHA,Smithville Housing Authority
Shackelford County,
Shackelford County CodeRED,Shackelford County
Shackelford County Commissioners Court,Shackelford County
Shackelford County Commodities,Shackelford County
Shackelford County Community Resource Center,
Shackelford County Community Resource Center,ResourceCare
Shackelford County Food Pantry,
Shackelford County Food Pantry,Shackelford County Food Pantry
Shackelford County Resource Center,
Shackelford County Resource Center,ResourceCare
Shackelford County Sheriff,Shackelford County
Shackelford Resource Center,
Shackelford Resource Center,ResourceCare
Shades of Hope,
Shades of Hope,Shades of Hope
Shadowridge Apartments,
"Shaken Baby Alliance, The",
Shakespeare in Zilker Park,
Shakespeare in Zilker Park,Austin Creative Alliance
Shallowater Senior Citizens Center,
Shallowater Senior Citizens Center,Shallowater Senior Citizens Center
"Shallowater, City of",
"Shallowater, City of","Shallowater, City of"
Shalom Austin,
Shalom Austin,Jewish Family Service (Greater Austin)
Shalom Empowerment and Economic Development of Midland,
Shalom Health Ministry,
Shalom Parent Center,Shalom Empowerment and Economic Development of Midland
Shamar Hope Haven Residential Treatment Center for Boys,
Shamrock Public Library,Harrington Library Consortium
Shannon Clinic Sweetwater,
Shannon Clinic Sweetwater,RPMH Rural Health Clinic
Shannon Medical Center,
"SHAPE Community Center, Inc.",
SHARE,
Share Center,
Share Ministries,
Share Ministries Food Bank,Share Ministries
Shared Families Program,Amschwand Sarcoma Cancer Foundation ASCF
Shared Housing,Shared Housing Center
Shared Housing Center,
Shared Services Arrangement,Sabine County Shared Services Arrangement
Sharing Hope Ministries,
Sharing Hope Ministry,Sharing Hope Ministries
Sharing Life Community Outreach,
Sharing the Harvest,
"Sharma, Roshan",
Sharon Baptist Church,
Sharon Clinic,
Sharon Clinic,Sharon Baptist Church
Sharon Community Clinic,Sharon Baptist Church
Sharon Shriners Temple ET,
Sharon Shriners Temple ET,Sharon Shriners Temple ET
Sharp Academy,
Sharp Academy,Lubbock Learning Difference Center
Sharp Lines Rural Public Transportation,Rolling Plains Management Corporation
Sharp Lines Rural Public Transportation/Find a Ride,Rolling Plains Management Corporation
Sharyland Independent School District,
Shattered Dreams,Texas Alcoholic Beverage Commission (TABC)
"Shauns Respiratory Solutions, LLP",
Shavano Park Fire Department,
Shavano Park Fire Department,Shavano Park Fire Department
Shavano Park Fire Station,Shavano Park Fire Department
Shavano Park Police Department,
Shavano Park Police Department,Shavano Park Police Department
SHCC,
SHCC,Southern Hills Church of Christ
SHCH,
SHCH,Sacred Heart Children's Home
Shelby County Attorney,Shelby County Courthouse
Shelby County Chamber of Commerce,
Shelby County Chamber of Commerce,Shelby County Chamber of Commerce
Shelby County Clerk,Shelby County Courthouse
Shelby County Commissioners,Shelby County Courthouse
Shelby County Constables,Shelby County Courthouse
Shelby County Courthouse,
Shelby County Extension Office,Shelby County Courthouse
Shelby County Indigent Health Care,
Shelby County Indigent Health Care,Shelby County Indigent Health Care
Shelby County Judge,Shelby County Courthouse
Shelby County Justices of the Peace,Shelby County Courthouse
"Shelby County Outreach Ministries, Inc.",
Shelby County Outreach Seniior Nutrition Program,Shelby County Outreach Senior Nutrition Program
Shelby County Outreach Senior Nutrition Program,
Shelby County Sheriff,Shelby County Courthouse
Shelby County Tax Assessor-Collector,Shelby County Courthouse
Shelby County Treasurer,Shelby County Courthouse
Sheldon Community Fire and Rescue,
Sheldon Independent School District,
Shell Internship Programs,Volunteer Houston
Shelter,Aggieland Humane Society
Shelter,Arlington Life Shelter
Shelter,Johnson County Christian Lodge
Shelter,Randy Sams Outreach Shelter
Shelter *TEST*,Salvation Army Victoria
Shelter - Family Promise of Greater New Braunfels,Family Promise of Greater New Braunfels
Shelter Agencies For Families In East Texas-SAFE-T,
Shelter for Homeless,The Salvation Army-Greater Houston Area Command
Shelter for Women and Children,"Mission of Yahweh, Inc."
Shelter for Youth Under 21,Covenant House Texas
Shelter Plus Care,Fort Worth Housing Authority
Shelter Services,"Fort Bend County Women's Center, Inc."
Shelter Services,Houston Area Women's Center
Sheltered Workshops,Lakes Regional MHMR Center/Ennis Work Center formally-Ennis Association For Retarded Citizens
Sheltering Arms Day Center,Neighborhood Centers Inc.
Shelton School And Evaluation Center,
Shepard Heart,
Shepard Heart,Shepherd's Heart
Sheperds Heart,
Sheperds Heart,Shepherd's Heart
Shepherd Chamber of Commerce,
Shepherd Chamber of Commerce,Shepherd Chamber of Commerce
Shepherd Independent School District,
Shepherd Independent School District,Shepherd Independent School District
Shepherd Public Library,
Shepherd Public Library,Shepherd Public Library
Shepherd's Heart,
Shepherd's Heart - Coat of Many Colors Thrift Store,Shepherd's Heart
Shepherd's Heart - Food Pantry,Shepherd's Heart
Shepherd's Heart Food Pantry,"Shepherd's Heart, The"
Shepherd's Heart Food Pantry and Community Ministries,
Shepherd's Heart Food Pantry and Community Ministries,Shepherd's Heart
Shepherd's Heart Taylor,
Shepherd's Heart Taylor,Shepherd's Heart
"Shepherd's Heart, The",
Shepherd's Pantry Ministry of Kingsway Church,
Shepherd's Pantry Ministry of Kingsway Church,Shepherd's Pantry Ministry of Kingsway Church
Shepherd's Supper,
Shepherd's Supper,Shepherd's Supper
Shepherds Pantry,Shepherd's Pantry Ministry of Kingsway Church
Sheppard Air Force Base Airman and Family Readiness Center,
Sheppard Airforce Base  Airman and Family Readiness Center,Sheppard Air Force Base Airman and Family Readiness Center
Sheriff,
Sheriff,Anderson County
Sheriff,Aransas County Government
Sheriff,Bee County Government
Sheriff,Bowie County Sheriff's Office
Sheriff,Brooks County Government
Sheriff,Camp County
Sheriff,Collin County Sheriff's Office
Sheriff,Dallas County Sheriff's Department
Sheriff,Denton County
Sheriff,Duval County Government
Sheriff,El Paso County Sheriff's Office
Sheriff,Gregg County
Sheriff,Harrison County Courthouse
Sheriff,Henderson County Courthouse
Sheriff,Jeff Davis County
Sheriff,Jim Wells County Government
Sheriff,Kleberg County Government
Sheriff,Live Oak County Government
Sheriff,Marion County
Sheriff,McMullen County Government
Sheriff,Nueces County Government
Sheriff,Presidio County
Sheriff,Refugio County Government
Sheriff,Rusk County
Sheriff,San Patricio County Government
Sheriff,Smith County
Sheriff,Van Zandt County
Sheriff,Wood County
Sheriff,Zapata County - Sheriff's Department
Sheriff Gregg County,Gregg County
Sheriff's,
Sheriff's,Culberson County - Van Horn Sheriff Office
Sheriff's,Hudspeth County - Sierra Blanca Sheriff's Office
Sheriff's Department,Austin County Sheriff's Department
Sheriff's Department,Brazoria County Sheriff's Department
Sheriff's Department,Harris County Sheriff's Department
Sheriff's Department,Liberty County Sheriff's Department
Sheriff's Department,Matagorda County Sheriff's Office
Sheriff's Department,Montgomery County Sheriff's Department
Sheriff's Department,Wharton County Sheriff's Department
Sheriff's Inmate Posting System (SIPS),Travis County Sheriff's Office
Sheriff's Office,
Sheriff's Office,Brewster County
Sheriff's Office,"Cameron, County of"
Sheriff's Office,Fort Bend County Sheriff's Office
Sheriff's Office,Galveston County Sheriff's Office
Sheriff's Office,Marion County
Sheriff's Office,Victoria County Courthouse
Sheriff's Office,"Willacy, County of"
Sherman Animal Shelter,
Sherman Animal Shelter,Sherman Animal Shelter
Sherman Area Chamber of Commerce,
Sherman Area Chamber of Commerce,Sherman Area Chamber of Commerce
Sherman County,
Sherman County Clerk,Sherman County
Sherman County Justice of the Peace,Sherman County
Sherman County Public Library,Harrington Library Consortium
Sherman County Sheriff,Sherman County
Sherman County Tax Assessor,Sherman County
Sherman Dialysis Center,
Sherman Dialysis Center,Sherman Dialysis Center
Sherman Evening Lion's Club,
Sherman Evening Lion's Club,Sherman Evening Lion's Club
Sherman Housing Authority,
Sherman Housing Authority,Sherman Housing Authority
Sherman Independent School District,
Sherman Independent School District,Sherman Independent School District
Sherman Independent School District - Pregnancy Education Program,Sherman Independent School District
"Sherman Museum, The",
"Sherman Museum, The","Sherman Museum, The"
Sherman Noon Lion's Club,
Sherman Noon Lion's Club,Sherman Noon Lion's Club
Sherman Public Library,
Sherman Public Library,Sherman Public Library
Sherman SA,Lakes Regional Community Center
Sherman Senior Center,Meals on Wheels of Texoma
Sherman VITA Tax Site,Sherman Public Library
Shield Bearer Counseling Center,
Shield Law Enforcement Program,El Paso Behavioral Health System
Shiloh Bread Of Life Food Pantry,
Shiloh Bread Of Life Food Pantry,Shiloh Bread Of Life Food Pantry
Shiner Library Services,City of Shiner
Shiner Mayors Offices,City of Shiner
Shiner Police Department,City of Shiner
"Shoe, Sock and School Supplies Drive","Salvation Army, Amarillo"
Shoreline Christian Center (former name),
Shoreline Christian Center (former name),Shoreline East
Shoreline East,
Shoreline East - Basic Needs Assistance,Shoreline East
Shorkey Education  and  Rehab Center,
Shorkey Education  and  Rehab Center,Shorkey Education and Rehabilitation Center
Shorkey Education and Rehab Center,
Shorkey Education and Rehab Center,Shorkey Education and Rehabilitation Center
Shorkey Education and Rehabilitation Center,
Short Term Case Management,"Wesley Community Center, Inc. (Amarillo)"
SHP,City of San Antonio - Department of Human Services
SHP Program,Compassion Ministries of Waco
Shriner's,
Shriner's,Sharon Shriners Temple ET
Shriners,
Shriners Hospitals for Children-Galveston,
Shriners Hospitals for Children-Houston,
SHRT,
SHRT,Special Health Resources For Texas Inc
Si Se Puede Learning Center,
Si Se Puede Learning Center - Family Education Services,Si Se Puede Learning Center
"Si, Yo Puedo Controlar Mi Diabetes! Diabetes Self-Management Program",Texas A & M AgriLife Extension Service - District 12
Sibling Support Groups,"Any Baby Can of San Antonio, Inc."
Sickle Cell Association of Austin - Marc Thomas Foundation,
Sickle Cell Association of Austin - Marc Thomas Foundation,Sickle Cell Association of Austin - Marc Thomas Foundation
Sickle Cell Association of Houston,
Sickle Cell Center,Children's Hospital of San Antonio
Sickle Cell Disease Association of Tarrant County,
SIDS Research Program,"Southwest SIDS Research Institute, Inc."
Sierra Blanca Independent School District,
Sierra Blanca ISD,
Sierra Blanca ISD,Sierra Blanca Independent School District
Sierra Blanca- Food Pantry,El Pasoans Fighting Hunger
Sierra East,Sierra Providence Health Network SPHN
Sierra Providence,Sierra Providence Health Network SPHN
Sierra Providence Health Network SPHN,
Sierra Providence Teen Center,Sierra Providence Health Network SPHN
Sievers Medical Clinic,
Sievers Medical Clinic,Sievers Medical Clinic
Sight Conservation,College Station Noon Lions Club
Sight for Sudents Program,Prevent Blindness Texas
Sights for Students,Prevent Blindness Texas
Sign Language Interpretation,"Deaf and Hard of Hearing Center, The"
Sign Language Interpretation,Dragonfly Interpreting Services
Sign Language Interpretation,Volar - Communication Services for the Deaf
Sign Language Interpreter Services,Sign Shares
Sign Language Interpreting Services,Sign of the Times
Sign of the Times,
Sign Shares,
Signature Program,Young Women's Christian Association of Houston YWCA
Silsbee Chamber of Commerce,
Silsbee Police Department,
"Silsbee Police Department, 9-1-1 Services",Silsbee Police Department
"Silsbee Police Department, Municipal Police",Silsbee Police Department
Silsbee Public Library,
"Silsbee Public Library, Library Services",Silsbee Public Library
Silsbee Senior Citizen Center,
Silsbee Volunteer Fire Department,
"Silsbee Volunteer Fire Department, Fire Control and Extinction",Silsbee Volunteer Fire Department
"Silsbee, City of",
"Silsbee, City of, Animal Control","Silsbee, City of"
"Silsbee, City of, City Government","Silsbee, City of"
"Silsbee, City of, Emergency Management","Silsbee, City of"
"Silsbee, City of, Municipal Court","Silsbee, City of"
Silver Sage Community Center,
Silver Sage Community Center,Silver Sage Community Center
Silver Sage Corral Senior Activity Center,Silver Sage Community Center
Silver Search - Travis County,Travis County Sheriff's Office
Silver Shawdow Program,City of Dallas Police Department
Silver Sleuths,Better Business Bureau Education Foundation
Silver Star,StarCare Specialty Health System
Simon Transitional Housing Program,Salvation Army of Tarrant County The
SIMS Foundation,
Sin Fronteras,
Sin Fronteras Project,
Sin Fronteras Project,Sin Fronteras
Singing Oaks Church Of Christ Benevolence Ministry,
Single Family Home Repair Program,City of Houston Housing and Community Development Department
Single Family House Loan Program,USDA-Rural Development
Single Family House Loan/Repair,USDA-Rural Development
Single Family Housing Rehabilitation,City of El Paso Community and Human Development 
Single Family Rehabilitation,City of Abilene - Planning and Development
Single Moms Created 4 Change,
Single-Room Occupancy Housing,The Housing Corporation/Houston SRO Housing Corp.
Sinton City Hall,
Sinton Housing Authority,
"SIRE, Houston's Therapeutic Equestrian Center",
SISD,
SISD,Schulenburg Independent School District (SISD)
SISD,Sharyland Independent School District
SISD,Smithville Independent School District (SISD)
SISD,Socorro Independent School District
Sisters Care at the Village,
Sisters Care at the Village,Sisters Care at the Village
"Sisters Network, Inc",
Sivells Bend Independent School District,
Sivells Bend Independent School District,Sivells Bend Independent School District
Sivells Bend ISD,
Six Stones Mission Network,
SJC,
SJC,St. John's Church of Brownwood
Skellytown Branch Library,Harrington Library Consortium
Skill Builder Classes,ACH Child and Family Services
Skilled Nursing Care,Westview Manor
Skilled Nursing Facilities,Gonzales Memorial Hospital
Skilled Nursing Facility and Rehab Center,Nazareth Living Center
Skilled Rehab Center,"Manor Park, Inc"
Skillpoint Alliance,
Skillpoint Alliance - Empower Computer Proficiency Program,Skillpoint Alliance
Skillpoint Alliance - Gateway ,Skillpoint Alliance
Skillpoint Alliance - Youth Programs,Skillpoint Alliance
SKILLS,Presa Community Service Center
Skills For Living,
Skills Training,Bay Area Rehabilitation Center
Skills Training,Brazos Valley Center for Independent Living (BVCIL)
Sky Hope Network,
Sky Hope Network - Transportation Services,Sky Hope Network
SkyHope,
Slaton Senior Citizens Association,
Slaton Senior Citizens Association,Slaton Senior Citizens Association
"Slaton, City of ",
"Slaton, City of","Slaton, City of "
Sleep Clinic,Children's Hospital of San Antonio
Sleep Lab,El Campo Memorial Hospital
Sleep Studies - Polysomnography,Limestone Medical Center
Sleepaway Camp,Young Men's Christian Association of Greater Houston YMCA
SLEHC,
SLEHC,St. Luke's Episcopal Health Charities
SLEW Wellness Center,
Slidell Independent School District,
SLL,
SLM,
SLM,"Scarlet Letter Ministries, Inc."
SLMB,Texas Health and Human Services Commission (HHSC)
SLPD,
SLPD,Sour Lake Police Department
Small and Minority Business Resources,City of Austin - Economic Growth Redevelopment Services Office (EGRSO)
Small Business Administration,
Small Business Administration (SBA) - Fort Worth,
Small Business Administration (SBA) Loan Information,"Extreme Weather - May, 2015"
Small Business Administration - Tip of Texas,
Small Business Administration Womens Business Center,
Small Business Administration Womens Business Center,BiG Austin
Small Business Assistance,El Paso Collaborative For Community & Economic Development
Small Business Development,East Texas Score
Small Business Development,Kilgore College
Small Business Development,Midwestern State University
Small Business Development,Tyler Small Business Development Center
Small Business Development Center,
Small Business Development Center - Abilene Office,
Small Business Development Center - Carrizo Springs,Small Business Development Center - Eagle Pass
Small Business Development Center - Cooke Co.,
Small Business Development Center - Cooke Co.,Small Business Development Center - Cooke Co.
Small Business Development Center - Eagle Pass,
Small Business Development Center - Grayson Co.,Grayson Small Business Development Center
Small Business Development Program (SBDP),City of Austin - Economic Growth Redevelopment Services Office (EGRSO)
Small Business Financing,Small Business Administration (SBA) - Fort Worth
Small Business Loans,Lift Fund - Tip of Texas
Small Business Services,BiG Austin
Small Schools Cooperative,
Small Steps Nurturing Center,
Small Steps Preschool - DePelchin,Small Steps Nurturing Center
Smart Girls,
SMART Housing,
SMART Housing,City of Austin - Transportation Department
Smart Moves,Boys & Girls Club of Hood County
Smart Savings IDA Program-THRIVE,Covenant Community Capital Corporation
Smart Start Early Child Education Center,
SMARTFlush Toilet Distribution Program,Community Action Partners Fort Worth Parks and Community Services (CAP)
SMARTKIDS,Communities in Schools of Central Texas (CIS)
SMASH,City of San Marcos - Parks and Recreation Department
SMCISD,
SMCISD,San Marcos Consolidated Independent School District (SMCISD)
SMCISD - Administrative Services,San Marcos Consolidated Independent School District (SMCISD)
SMCISD - Bonham Pre-Kindergarten School,San Marcos Consolidated Independent School District (SMCISD)
SMCISD - Elementary School Services (K - 5th),San Marcos Consolidated Independent School District (SMCISD)
SMCISD - Elementary School Services (Pre-K - 5th),San Marcos Consolidated Independent School District (SMCISD)
SMCISD - Guidance and Counseling Services,San Marcos Consolidated Independent School District (SMCISD)
SMCISD - High School Services,San Marcos Consolidated Independent School District (SMCISD)
SMCISD - Homeless Liaison Services,San Marcos Consolidated Independent School District (SMCISD)
SMCISD - Middle Schools Services,San Marcos Consolidated Independent School District (SMCISD)
SMCISD - Phoenix Learning Center,San Marcos Consolidated Independent School District (SMCISD)
SMCISD - Rebound Disciplinary Alternative Education Program,San Marcos Consolidated Independent School District (SMCISD)
SMCISD - Special Education Services,San Marcos Consolidated Independent School District (SMCISD)
SMCISD - Transportation Services,San Marcos Consolidated Independent School District (SMCISD)
SMCISD Central Office,San Marcos Consolidated Independent School District (SMCISD)
SMCISD School Bus Route,San Marcos Consolidated Independent School District (SMCISD)
SMEU,City of San Marcos
SMEU Energy Audit,City of San Marcos
SMFC Wellness,William Beaumont Army Medical Center WBAMC
SMFD,
SMFD,San Marcos Fire Department
SMH,
SMH,"Santa Maria Hostel, Inc."
SMHA,
SMHA,San Marcos Housing Authority
SMHS,San Marcos Consolidated Independent School District (SMCISD)
Smile For A Lifetime,
Smile For A Lifetime - Sherman,Smile For A Lifetime
Smiley City Hall,City of Smiley
SMISD,
SMISD,Santa Maria Independent School District
Smith County,
Smith County,Smith County 911 District
Smith County 911 District,
Smith County 911 District,Smith County 911 District
Smith County Animal Control,Smith County
Smith County Champions For Children,
Smith County Indigent Health Care,
Smith County Public Health District,NET Health
Smith ISD,
Smith ISD,Smithville Independent School District (SISD)
Smithson Valley Food Bank,
Smithson Valley Food Bank,Smithson Valley Food Bank
Smithville City Council,
Smithville City Council,City of Smithville
Smithville City Hall,
Smithville City Hall,City of Smithville
Smithville City Manager,
Smithville City Manager,City of Smithville
Smithville Community Clinic,
Smithville Fire,
Smithville Food Pantry,
Smithville Food Pantry,Smithville Food Pantry
Smithville HA,
Smithville HA,Smithville Housing Authority
Smithville Housing Authority,
Smithville Housing Authority - Housing Services,Smithville Housing Authority
Smithville Independent School District (SISD),
Smithville ISD - Administration and Transportation,Smithville Independent School District (SISD)
Smithville ISD - Guidance and Counseling Services,Smithville Independent School District (SISD)
Smithville ISD - Homeless Liasion,Smithville Independent School District (SISD)
Smithville ISD - Special Education Services,Smithville Independent School District (SISD)
Smithville Library,
Smithville Library,Smithville Public Library
Smithville Mayor,
Smithville Mayor,City of Smithville
Smithville Parks and Rec,City of Smithville
Smithville PD,
Smithville PD,Smithville Police Department
Smithville PD - Law Enforcement Services,Smithville Police Department
Smithville Police Association,
Smithville Police Association,Smithville Police Department
Smithville Police Department,
Smithville Public Library,
"Smithville Public Library - ESL, GED, Computer, and Citizenship Classes",Smithville Public Library
Smithville Public Library - Library Services,Smithville Public Library
Smithville Rec Center,City of Smithville
Smithville-Bastrop to Austin Commuter,Capital Area Rural Transportation System (CARTS)
SMLWV,
SMLWV,San Marcos Area League of Women Voters
Smoke Alarm Campaign,Burkburnett Volunteer Fire Department
Smoke Alarms,Sugar Land Fire Department
Smoke Detector Program,Fort Worth Fire Department
Smoke Detector Project,City of San Antonio - Fire Department - Community Safety and Education
Smoke Detector Project,Corpus Christi Fire Department
Smoke Detector Project,Corpus Christi Police Department
Smoke Detectors,Jacinto City Fire Department
Smoke-Detector Program,City of Abilene - Fire
"Smoking Cessation , Freshstart",City of El Paso Department of Public Health
Smoking Cessation and Prevention,Julie Rogers Gift of Life Program
Smoking Cessation Classes,Corpus Christi-Nueces County Public Health District
Smoking Cessation Support,American Cancer Society - ET
Smoking Education/Prevention,Texas A&M Center for Housing and Urban Development
Smoking Ordinance Enforcement,"Waco, City of"
SMP Texas-Senior Medicare Patrol,Better Business Bureau Education Foundation
SMPD,
SMPD,San Marcos Police Department
SMPHA,
SMPHA,San Marcos Housing Authority
SMPL,
SMPL,San Marcos Public Library
SMS,Hays Consolidated Independent School District (HCISD)
SMSS,
SMSS,St. Mary Star of the Sea
SMU Dedman School of Law Legal Clinics Department,
SMUMC,
Smyer Senior Citizens Association,
Smyer Senior Citizens Association,Smyer Senior Citizens Association
"Smyer, City of",
"Smyer, City of","Smyer, City of"
SNAP,
SNAP,Senior Nutrition Activities Program
SNAP,South Texas Food Bank
SNAP,Spay-Neuter Assistance Program
SNAP,Texas Health and Human Services Commission (HHSC)
SNAP (Special Needs Assistance Program),Fort Worth Office of Emergency Management
SNAP Employment and Training Program,Workforce Solutions Rural Capital Area
SNAP Headquarters,Spay Neuter Assistance Program S.N.A.P.
SNAP/HHSC Benefits Outreach,Tarrant Area Food Bank
SNIPS - Spay Neuter Initiative Pet Society,
SNIPS - Spay Neutet Initiative Pet Society,SNIPS - Spay Neuter Initiative Pet Society
Snyder,
Snyder,City of Snyder
Snyder Library,
Snyder Library,Scurry County Library
Snyder Senior Citizens,"Snyder Senior Citizens, Inc."
"Snyder Senior Citizens, Inc.",
Snyder Seniors,
Sober Austin,
Sober Austin,SoberAustin
Sober Homes,
Sober Homes,Austin Area Transitional Living Facilities
Sober Living,
Sober Living,Chapman House Eustace Inc
Sober Living Home,Driskill House
Sober Living Home for Men,H.O.W. Center
SoberAustin,
SoberAustin - Addiction and Recovery Resource Directory,SoberAustin
Social & Leisure Program,The Arc of Greater Houston
Social and Financial Services,Harris County Community Services
Social and Recreational,"New Caney New Horizons, Inc."
Social Development and Enrichment,Woodland City Alliance Of Tenants
Social Security,
Social Security,Social Security Administration (SSA)
Social Security Administration (SSA),
Social Security Disability Work Incentives Planning Assistance Program,Easter Seals North Texas
Social Security Payee,"Central Texas Opportunities, Inc."
Social Security Payee Services,Disability in Action
Social Service Department,"Salvation Army, The - Cameron County"
"Social Service Program, Salvation Army","Salvation Army, The"
Social Services,
Social Services,"Adults and Youth United Development Association, Inc."
Social Services,"Ahiara Development Union USA, Inc."
Social Services,Bhrathi Kalai Manram
Social Services,"Casa De Amigos of Midland Texas, Inc."
Social Services,Chambers County Indigent Health Care
Social Services,City of Katy - Fussell Senior Citizen Activity Center
Social Services,Cypress Assistance Ministries
Social Services,"DAYA, Inc."
Social Services,Fort Bend County Social Services
Social Services,"Gulf States Hemophilia, Thrombophilia Center"
Social Services,"Houston International Seafarers Centers, Inc."
Social Services,Houston's First Baptist Church
Social Services,Inman Christian Center
Social Services,Katy Christian Ministries
Social Services,La Union De Pueblo Entero
Social Services,Martin Luther King Center
Social Services,Michael E. DeBakey Veterans Affairs Medical Center
Social Services,Midland Baptist Crisis Center
Social Services,Mission Northeast
Social Services,"Mission Waco, Mission World, Inc."
Social Services,Mystic Rose Social Service Inc.
Social Services,Pakistan Association of Greater Houston
Social Services,Polk County Social Services
Social Services,Recording Library of West Texas
Social Services,Repair the Breach Ministries
Social Services,ResourceCare
Social Services,"Rosenberg-Richmond Helping Hands, Inc."
Social Services,Salvation Army Corps- Howard County
Social Services,Salvation Army of Midland
Social Services,Salvation Army- Odessa
Social Services,St. Joseph Social Ministry
Social Services,St. Luke's Episcopal Hospital
Social Services,St. Mary Magdalene Social Services
Social Services,Steps2Strides Therapy Center
Social Services,The Christian Outreach Center
Social Services,The Salvation Army-Corpus Christi
Social Services,The Salvation Army-Galveston
Social Services,Tomball Emergency Assistance Ministries
Social Services,University of Texas Medical Branch-Galveston
Social Services (EFSP) - Starr County,Catholic Charities of the Rio Grande Valley
Social Services (Pampa Salvation Army),Salvation Army-Pampa
Social Services - (EFSP) Cameron County,Catholic Charities of the Rio Grande Valley
Social Services - (EFSP) Hidalgo County,Catholic Charities of the Rio Grande Valley
Social Services Department,"Salvation Army, The - Hidalgo County"
Social Services Department - Emergency Assistance Program,Catholic Charities of the Rio Grande Valley
Social Services Department - Fan Assistance,"Salvation Army, The - Hidalgo County"
Social Services for Military Personnel,American Red Cross- Dallas Area Chapter
Social Services Outreach Program,Brazos Valley Food Bank
Social Services Program,The Salvation Army-Greater Houston Area Command
Social Services Program - Fort Bend,The Salvation Army-Greater Houston Area Command
"Social Services, Comprehensive Energy Assistance Program","Big Bend Community Action Committee, Inc."
"Social Services, Comprehensive Energy Assistance Program, Weatherization Program","Big Bend Community Action Committee, Inc."
"Social Services, Comprehensive Energy Assistance Program, Weatherization Program- Presidio, Marfa","Big Bend Community Action Committee, Inc."
"Social Services, Comprehensive Energy Assistance Program- Marfa Office","Big Bend Community Action Committee, Inc."
Social Work Services,West Texas Centers
"Social, Educational and Cultural Activities",Senior Services of West University
Social/Support Services,"Actions, Inc. of Brazoria County"
Socialization and Recreation Services,Disability in Action
Socially Responsible Investment Coalition,
Socially Responsible Investment Coalition,Socially Responsible Investment Coalition
Society for the Prevention of Cruelty to Animals-Amarillo,
Society of Saint Vincent de Paul,
Society of Saint Vincent de Paul,All Saint Catholic Church 
Society of Saint Vincent de Paul,Little Flower Church - El Paso
Society of Saint Vincent de Paul,Queen of Peace Catholic Church - El Paso
Society of Saint Vincent de Paul,Sacred Heart Church - El Paso
Society of Saint Vincent de Paul,Society of St. Vincent De Paul - Diocesan Council of El Paso
Society of Samaritans,
Society of Sanit Vicent de Paul,St. Paul the Apostle Church - El Paso
Society of St Stephens Food Pantry,
Society of St Stephens Food Pantry,First United Methodist Church Jacksonville
Society of St. Vincent de Paul,
Society of St. Vincent De Paul - Diocesan Council of El Paso,
Society of St. Vincent de Paul at St. Paul's Catholic Church,
Society of St. Vincent de Paul at St. Paul's Catholic Church,St. Paul Catholic Church (Smithville) - Society of St. Vincent De Paul
"Society of St. Vincent de Paul, Diocesan Council of Austin",
Society of St. Vincent DePaul - Rockwall,
Socorro City Clerk,City of Socorro
Socorro Coalition - Food Pantry,El Pasoans Fighting Hunger
Socorro Fire Department,City of Socorro
Socorro Independent School District,
Softball Complex Services,"Waco, City of"
SOH Drug  and  Alcohol Rehab,
SOH Drug  and  Alcohol Rehab,Shades of Hope
Solar Rebates,"City of El Paso, Texas"
Soldier and Family Readiness Branch,Army Community Service
Solid and Household Waste Program,South East Texas Regional Planning Commission
Solid Rock House of God,
Solid Waste Department,"Edinburg, City of"
Solid Waste Dept - Heavy Brush & Bulky Items Pickup,City of Corpus Christi
Solid Waste Division - Southside,"City of El Paso, Texas"
Solid Waste Division - Westside,"City of El Paso, Texas"
Solid Waste Senior or Disabled Discount Program,"City of El Paso, Texas"
Solid Waste Services,Code Compliance Department Fort Worth
Solid Waste Services (former name),
SOLO House,
SOLO House,Crestview Baptist Church
SOLOS,
SOLOS,Survivors of Loved Ones' Suicide Group
Solutions of North Texas,
Some Other Place,
Somerset Independent School District,
Somerset Independent School District Main Office,Somerset Independent School District
